what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1375750937323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375750937889
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375750940398
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1375750941944
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1375750942077
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1375750942685
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1375750942701
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1375750942745
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1375750942816
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1375750942835
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1375750942977
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1375750943024
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1375750943301
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1375750943323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375750950003
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375751202350
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375751211706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375751286785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375751290083
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1375763641671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375763641742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375763642939
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375763646045
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1375763646804
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1375763648103
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1375763649228
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1375763649230
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1375763649293
